id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
s5TdXSWTRUyttunV2f6nbw==,Caballito,4,2,145,137,238000,Departamento,238
TyDaD/1J2kgd2hn/qODVdw==,Mataderos,4,1,58,49,90000,Departamento,90
KqR1IEhjEuoyvqSJ3+KBDg==,Monserrat,4,1,78,78,179000,Departamento,179
VPZ3gj9aXq6v+2jCFpg2BQ==,Balvanera,5,1,107,107,115000,PH,115
lUVEmPNhfgTbkJBt7JXoAA==,Belgrano,5,3,420,400,1900000,Departamento,1900
ShTKxLuVU/KOvz1+LrCY1Q==,Caballito,6,2,200,180,225000,PH,225
g8W0VPlJ67nHny4vuH/HAA==,Belgrano,6,2,108,108,250000,Departamento,250
e1JAL/Qe6mY1SFjHfbExLw==,Flores,1,1,36,34,60000,Departamento,60
ka+JJgBJwbwFw/7vPfGfcQ==,Palermo,1,1,103,38,130000,Departamento,130
GAzy0dnMZxvKMtFiugO3nw==,Palermo,1,1,37,37,96000,Departamento,96
s2WJhOYSv0Lqq9a1664xRw==,Palermo,1,1,88,33,115000,Departamento,115
1S5oc3cyq+muFlMDKcp9Sg==,Palermo,1,1,35,33,72000,Departamento,72
ikTEoG+dxM6K7NqQ3jM8Qw==,Palermo,1,1,40,25,80000,Departamento,80
rmsmVxiRHKrK2UC2MtDTzQ==,Palermo,1,1,38,34,89000,Departamento,89
XzSdhjv9ip1vL91sUNHoPA==,Palermo,1,1,37,37,100000,Departamento,100
NmKS6Uv8Q2hSI6/9tzbTVw==,Palermo,1,1,41,35,125000,Departamento,125
oBqU1g97hSXWGQ6SvKRDMQ==,Congreso,1,1,57,57,109000,Departamento,109
VGV8Z+Tk/tdoD5FDPi91Pw==,Congreso,1,1,33,33,59000,Departamento,59
QJ6eIefZzEbNn4ahAyEadw==,Congreso,1,1,28,28,59000,Departamento,59
m83p1nKUmDnMEaoNEqULMA==,Congreso,1,1,34,34,59000,Departamento,59
K+qDVZja3PnZVpc8ZuCREA==,Paternal,1,1,35,33,75000,Departamento,75
6qCJah4DHpvKiaIenSWxRw==,Caballito,1,1,35,23,69000,Departamento,69
FFVJUTB+STDNbaIuddraIg==,Caballito,1,1,73,31,135000,Departamento,135
5SyMRvqdAbsO9W+5Jy54Jw==,Caballito,1,1,32,30,69000,Departamento,69
